"CCode","CName","Code","PSname","PSaddress","lon","lat"
"P17","Hong Lok Yuen","P1704","Confucian Tai Shing Ho Kwok Pui Chun College","Fu Shin Estate, Tai Po, New Territories",114.1763995,22.454681
"P19","Sai Kung North","P1901","Hong Kong Baptist Theological Seminary","1 Nin Ming Road, Sai O, Sai Kung (North), New Territories",114.2542154,22.431375
"P19","Sai Kung North","P1902*","Sai Kung Country Park Visitor Centre","531 Tai Mong Tsai Road, Pak Tam Chung, Sai Kung, New Territories",114.323794,22.400033
"P19","Sai Kung North","P1903","Tap Mun Youth Club","Tap Mun, Tai Po, New Territories",114.358999,22.468268
"Q01","Sai Kung Central","Q0101","The Sai Kung Jockey Club Town Hall","8 Chan Man Street, Sai Kung, New Territories",114.2712469,22.3830135
"Q01","Sai Kung Central","Q0102","Man Yee Fishermen Village Community Hall","Man Yee Fishermen Estate, 140 Hong Kin Road, Tui Min Hoi, Sai Kung, New Territories",114.2708395,22.3755745
"Q02","Pak Sha Wan","Q0201","Ex-Sai Kung Central Primary School","Ho Chung, Sai Kung, New Territories",114.245936,22.355211
"Q04","Hang Hau East","Q0401","Hong Kong and Macau Lutheran Church Primary School","4 Chap Fuk Road, Tseung Kwan O, New Territories",114.2666689,22.319653
"Q05","Hang Hau West","Q0501","Cheng Chek Chee Secondary School of Sai Kung & Hang Hau District, N.T.","8 Chuk Kok Road, Sai Kung, New Territories",114.257482,22.3431835
"Q05","Hang Hau West","Q0502","Po Lam Sports Centre","Po Lam Estate, Tseung Kwan O, New Territories",114.2537354,22.3176508
"Q06","Po Yee","Q0601","Evangel College","7 Chi Shin Street, Tseung Kwan O, New Territories",114.2623762,22.3042712
"Q07","Wai King","Q0701","HKYWCA Tseung Kwan O Integrated Social Service Centre","Tower 17, Ocean Shores, 88 O King Road, Tiu Keng Leng, Tseung Kwan O, New Territories",114.2528579,22.3037091
"Q08","Do Shin","Q0801","Hong Kong Design Institute & Hong Kong Institute of Vocational Education (Lee Wai Lee)","3 King Ling Road, Tseung Kwan O, New Territories",114.25345,22.305728
"Q09","Kin Ming","Q0901","HHCKLA Buddhist Ching Kok Secondary School","38 Chui Ling Road, HK",114.2495211,22.307016
"Q10","Choi Kin","Q1001","Po Kok Secondary School","Choi Ming Court, 9 Choi Ming Street, Tseung Kwan O, New Territories",114.2528255,22.306737
"Q11","O Tong","Q1101","POH 80th Anniversary Tang Ying Hei College","2 Tong Yin Lane, Tseung Kwan O, New Territories",114.2586115,22.308906
"Q12","Fu Kwan","Q1201","YCH Wong Wha San Secondary School","8 Tong Chun Street, Tseung Kwan O, New Territories",114.2598061,22.3093475
"Q13","Kwan Po","Q1301","Tseung Kwan O Sports Ground","109 Po Hong Road, Tseung Kwan O, New Territories",114.2632676,22.3116561
"Q14","Nam On","Q1401","PLK Fung Ching Memorial Primary School","2 Pui Shing Road, Tseung Kwan O, New Territories",114.2634525,22.3150849
"Q15","Hong King","Q1501","Tsui Lam Sports Centre","Tsui Lam Estate, Tseung Kwan O, New Territories",114.2483155,22.3233085
"Q15","Hong King","Q1502","King Ling College","1 Lam Shing Road, Tseung Kwan O, New Territories",114.253458,22.3183085
"Q15","Hong King","Q1503","Mission Covenant Church Sister Annie's Kindergarten and Nursery","G/F, Po Tai House, Po Lam Estate, Tseung Kwan O, New Territories",114.2536421,22.3257769
"Q16","Tsui Lam","Q1601","Tsui Lam Community Hall","Tsui Lam Estate, Tseung Kwan O, New Territories",114.2483155,22.3233085
"Q17","Po Lam","Q1701","Carmel Divine Grace Foundation Secondary School","Po Lam Estate, Tseung Kwan O, New Territories",114.2537354,22.3176508
"Q18","Yan Ying","Q1801","Po Lam Multipurpose Hall","Po Lam Estate, Tseung Kwan O, New Territories",114.2537354,22.3176508
"Q19","Wan Hang","Q1901","STFA Leung Kit Wah Primary School","2 Mau Tai Road, Tseung Kwan O, New Territories",114.2561529,22.3233646
"Q19","Wan Hang","Q1902","TWGHs Wong Yee Jar Jat Memorial Primary School","8 Hok Lam Lane, Tseung Kwan O, New Territories",114.2594826,22.319295
"Q20","King Lam","Q2001","HHCKLA Buddhist Wong Cho Sum School","King Lam Estate, 38 Po Lam Road North, Tseung Kwan O, New Territories",114.260312,22.3221715
"Q21","Hau Tak","Q2101","Catholic Ming Yuen Secondary School","Hau Tak Estate, Tseung Kwan O, New Territories",114.2604425,22.311524
"Q22","Fu Nam","Q2201","Hang Hau Community Hall","G/F, Sai Kung Tseung Kwan O Government Complex, 38 Pui Shing Road, Hang Hau, Tseung Kwan O, New Territories",114.268128,22.3173205
"Q24","Sheung Tak","Q2401","Sheung Tak Community Hall","Sheung Mei House, Sheung Tak Estate, Tseung Kwan O, New Territories",114.2566685,22.3112935
"Q25","Kwong Ming","Q2501","HKTA The Yuen Yuen Institute No.3 Secondary School","Sheung Tak Estate, 2 Tong Ming Street, Tseung Kwan O, New Territories",114.2604425,22.311524
"Q26","Wan Po North","Q2601","Tseung Kwan O Government Primary School","Hau Tak Estate, Tseung Kwan O, New Territories",114.2604425,22.311524
"Q26","Wan Po North","Q2602","Lohas Park Community Hall","The Capitol, LOHAS Park, Tseung Kwan O, New Territories",114.271217,22.2965896
"Q27","Wan Po South","Q2701","The Hong Kong Federation of Youth Groups LOHAS Youth S.P.O.T.","The Capitol, LOHAS Park, 1 Lohas Park Road, Sai Kung, New Territories",114.271217,22.2965896
"R01","Sha Tin Town Centre","R0101","Sha Tin Town Hall","1 Yuen Wo Road, Sha Tin, New Territories",114.189895,22.381264
"R01","Sha Tin Town Centre","R0102","Sha Tin Government Secondary School","11-17 Man Lai Road, Sha Tin, New Territories",114.1846486,22.376397
"R02","Lek Yuen","R0201","Lek Yuen Community Hall","Lek Yuen Estate, Sha Tin, New Territories",114.1918667,22.3853356
"R03","Wo Che Estate","R0301","Wo Che Community Hall","Podium Level, Wo Che Shopping Centre, Wo Che Estate, Sha Tin, New Territories",114.194839,22.3883527
"R06","Wong Uk","R0601","Chi Hong Primary School","1 Yuen Cheong Lane, Sha Tin, New Territories",114.1970331,22.3819895
"R06","Wong Uk","R0602","Belair Gardens Shopping Arcade 1/F Footbridge","Belair Gardens, 52 Tai Chung Kiu Road, Sha Tin, New Territories",114.199319,22.384737
"R07","Sha Kok","R0701","Buddhist Kok Kwong Secondary School","Sha Kok Estate, Sha Tin, New Territories",114.194756,22.377271
"R08","Pok Hong","R0801","Pok Hong Community Hall","Pok Hong Estate, Sha Tin, New Territories",114.19503,22.377246
"R09","Jat Min","R0901","Sha Tin Wai Dr. Catherine F. Woo Memorial School","2 Jat Min Chuen Street, Sha Tin, New Territories",114.191128,22.375551
"R09","Jat Min","R0902","The Hong Kong Girl Guides Association Pok Hong Camp Site","61 Shui Chuen Au Street, Sha Tin, New Territories",114.195686,22.371475
"R10","Chun Fung","R1001","Chun Shek Community Hall","Chun Shek Estate, Sha Tin, New Territories",114.187268,22.374379
"R11","Sun Tin Wai","R1101","Sun Tin Wai Community Hall","Sun Tin Wai Estate, Sha Tin, New Territories",114.189305,22.370668
"R11","Sun Tin Wai","R1102","Ng Yuk Secondary School","Sun Chui Estate, Tai Wai, Sha Tin, New Territories",114.181835,22.3705304
"R12","Chui Tin","R1201","Kowloon City Baptist Church Hay Nien (Yan Ping) Primary School","Phase 2, Sun Chui Estate, Tai Wai, Sha Tin, New Territories",114.1736608,22.3697293
"R13","Hin Ka","R1301","CUHK FAA Thomas Cheung School","CUHKFAA Thomas Cheung School",114.1724997,22.3608008
"R13","Hin Ka","R1302","Hin Keng Sports Centre","Hin Keng Sports Centre, Hin Keng Estate, Sha Tin, New Territories, HK",114.1974398,22.3771304
"R14","Lower Shing Mun","R1401","Mei Tin Community Hall","Mei Tin Community Hall",114.1724711,22.3762015
"R15","Wan Shing","R1501","GCCITKD Lau Pak Lok Secondary School","1 Chik Tai Lane, Tai Wai, Sha Tin, New Territories",114.1755984,22.3725659
"R15","Wan Shing","R1502","PLK C.W. Chu College","Lung Hang Estate, Tai Wai, Sha Tin, New Territories",114.178722,22.368914
"R16","Keng Hau","R1601","Hin Keng Neighbourhood Community Centre","5 Hin Wo Lane, Sha Tin, New Territories",114.1748605,22.366681
"R16","Keng Hau","R1602","Choi Jun School","2 Hin Tai Street, Sha Tin, New Territories",114.1767861,22.3632744
"R18","Chui Ka","R1801","GCCITKD Cheong Wong Wai Primary School","2 Chui Tin Street, Sun Chui Estate, Sha Tin, New Territories",114.181835,22.3705304
"R19","Tai Wai","R1901","Buddhist Wong Wan Tin College","Mei Lam Estate, Tai Wai, Sha Tin, New Territories",114.17844,22.377217
"R19","Tai Wai","R1902","Tai Wai Village Office","Chik Fuk Street, Tai Wai, Sha Tin, New Territories",114.179372,22.375381
"R20","Chung Tin","R2001","Mei Lam Sports Centre","Mei Lam Estate Phase 3, Tai Wai, Sha Tin, New Territories",114.1736608,22.3697293
"R20","Chung Tin","R2002","ELCHK Shatin Lutheran Kindergarten","1 Tung Lo Wan Hill Road, Tai Wai, Sha Tin, New Territories",114.1803306,22.3784012
"R21","Sui Wo","R2101","PLK Siu Hon Sum Primary School","Area 42A, Sui Wo Court, Sha Tin, New Territories",114.1909775,22.3938608
"R22","Fo Tan","R2201","Jockey Club Ti-I College","5-7 Lok King Street, Fo Tan, Sha Tin, New Territories",114.1981837,22.3931561
"R23","Chun Ma","R2301","John Fulton Centre, The Chinese University of Hong Kong","Room 309, John Fulton Centre, The Chinese University of Hong Kong, Sha Tin, New Territories",114.20383,22.417534
"R23","Chun Ma","R2302","Yan Oi Tong H.K. Toi Shan Association Elderly Centre","G/F, 1 Tsun King Road, Royal Ascot, Fo Tan, Sha Tin, New Territories",114.202788,22.401723
"R24","Chung On","R2401","Christian Alliance Toi Shan H. C. Chan Primary School","Chung On Estate, Ma On Shan, Sha Tin, New Territories",114.228524,22.423201
"R25","Kam To","R2501","CUHKFAA Chan Chun Ha Secondary School","632 Sai Sha Road, Chung On Estate, Ma On Shan, Sha Tin, New Territories",114.2277255,22.4232565
"R26","Ma On Shan Town Centre","R2601","Hong Kong Taoist Association Shun Yeung Primary School","30 On Chun Street, Ma On Shan, Sha Tin, New Territories",114.2282872,22.4262524
"R27","Lee On","R2701","Ma On Shan Ling Liang Primary School","Lee On Estate, Ma On Shan, Sha Tin, New Territories",114.241349,22.427814
"R28","Fu Lung","R2801","Caritas Ma On Shan Secondary School","2 Kam Ying Road, Ma On Shan, Sha Tin, New Territories",114.2390941,22.425517
"R29","Wu Kai Sha","R2901","Lee On Community Hall","Lee On Community Services Complex, 23 Sha On Street, Ma On Shan, Sha Tin, New Territories",114.2409519,22.4264939
"R30","Kam Ying","R3001","Ng Clan's Association Tai Pak Memorial School","Kam Ying Court, Ma On Shan, Sha Tin, New Territories",114.2366913,22.4237158
"R30","Kam Ying","R3002","TWGHs Wong Fung Ling College","208 Ma On Shan Road, Ma On Shan, Sha Tin, New Territories",114.2343401,22.4233785
"R31","Yiu On","R3101","PLK Chong Kee Ting Primary School","Yiu On Estate, Ma On Shan, Sha Tin, New Territories",114.229297,22.418851
"R32","Heng On","R3201","Ma On Shan St. Joseph's Primary School","Estate Primary School No.1, Heng On Estate, Ma On Shan, Sha Tin, New Territories",114.2402751,22.4276756
"R32","Heng On","R3202","Heng On Estate Community Centre","Heng On Estate, Ma On Shan, Sha Tin, New Territories",114.230473,22.417984
"R33","On Tai","R3301","Tak Sun Secondary School","27 Ning Tai Road, Ma On Shan, Sha Tin, New Territories",114.2219951,22.4103776
"R34","Tai Shui Hang","R3401","Kowloon City Baptist Church Hay Nien Primary School","Chevalier Garden, 3 Hang Shun Street, Ma On Shan, Sha Tin, New Territories",114.223821,22.4039719
"R34","Tai Shui Hang","R3402","The ELCHK Ma On Shan Lutheran Primary School","Estate Primary School No.2, Heng On Estate, Ma On Shan, Sha Tin, New Territories",114.2402751,22.4276756
"R36","Bik Woo","R3601","Leung Kui Kau Lutheran Primary School","5 On King Street, Sha Tin, New Territories",114.2057695,22.3921675
"R36","Bik Woo","R3602","Hong Kong Baptist University Affiliated School Wong Kam Fai Secondary and Primary School","6 On Muk Lane, Shek Mun, Sha Tin, New Territories",114.2091255,22.3868819
"R37","Kwong Hong","R3701","Shatin Methodist Primary School","Shatin Methodist Primary School, Shatin, New Territories",114.2145997,22.3801467
"R38","Kwong Yuen","R3801","Kwong Yuen Community Hall","Kwong Yuen Estate, Sha Tin, New Territories",114.214906,22.382764
"S01","Kwai Hing","S0101","CNEC Ta Tung School","Kwai Hing Estate, Kwai Chung, New Territories",114.130745,22.35967
"S02","Kwai Shing East Estate","S0201","ELCHK Kwai Shing Lutheran Primary School","Kwai Shing East Estate, Kwai Chung, New Territories",114.1271906,22.3642115
"S03","Upper Tai Wo Hau","S0301","Yan Oi Tong Pang Hung Cheung Kindergarten","G/F, Fu Tai House, Tai Wo Hau Estate, Tsuen Wan, New Territories",114.1226154,22.3659664
"S04","Lower Tai Wo Hau","S0401","Buddhist Lam Bing Yim Memorial School (Sponsored by the Hong Kong Buddhist Association)","33 Tai Ha Street, Tsuen Wan, New Territories",114.1235964,22.3696752
"S05","Kwai Chung Estate North","S0501","CCC Chuen Yuen College","15 Sheung Kok Street, Kwai Chung Estate, Kwai Chung, New Territories",114.1280495,22.3688515
"S06","Kwai Chung Estate South","S0601","CCC Chuen Yuen Kindergarten","Kwai Chung Estate, Kwai Chung, New Territories",114.130358,22.368266
"S06","Kwai Chung Estate South","S0602","SKH Yan Laap Primary School","399 Kwai Shing Circuit, Kwai Chung, New Territories",114.1305189,22.3654406
"S07","Shek Yam","S0701","SKH Chu Oi Primary School","45 Tung Chi Street, Shek Yam, Kwai Chung, New Territories",114.1397529,22.3709356
"S08","On Yam","S0801","Salesian Yip Hon Primary School","On Yam Estate, Kwai Chung, New Territories",114.141568,22.369013
"S09","Shek Lei South","S0901","Shek Lei (I) Estate Indoor Activity Room","Shek Lei (I) Estate Car Park",114.1541325,22.3356629
"S10","Shek Lei North","S1001","Shek Lei Community Hall","2 Tai Pak Tin Street, Kwai Chung, New Territories",114.1392869,22.3665805
"S11","Tai Pak Tin","S1101","HKTA The Yuen Yuen Institute No.1 Secondary School","42 Wo Yi Hop Road, Kwai Chung, New Territories",114.1382619,22.3664785
"S12","Kwai Fong","S1201","Buddhist Lim Kim Tian Memorial Primary School","Buddhist Lim Kim Tian Memorial Primary School, Kwai Chung, New Territories",114.1290254,22.3587638
"S13","Wah Lai","S1301","G/F, Conference Room, Northern Car Park, Wonderland Villas","Wonderland Villas, 9 Wah King Hill Road, Kwai Chung, New Territories",114.135685,22.354282
"S13","Wah Lai","S1302","Carmel Alison Lam Foundation Secondary School","4 Wah King Hill Road, Kwai Chung, New Territories",114.1336865,22.3506784
"S13","Wah Lai","S1303","TWGHs Ko Ho Ning Memorial Primary School","TWGHs Ko Ho Ning Memorial Primary School, Kwai Chung, New Territories, HK",114.1302591,22.3668502
"S15","Cho Yiu","S1501","The HKSYC&IA Chan Nam Chong Memorial College","12 King Cho Road, Cho Yiu Chuen, Kwai Chung, New Territories",114.1283495,22.3455825
"S16","Hing Fong","S1601","Kwai Fong Community Hall","2 Lai Fong Street, Kwai Chung, New Territories",114.127283,22.3596272
"S18","Kwai Shing West Estate","S1801","Kwai Shing Community Hall","Kwai Shing Community Hall, New Territories",114.1215814,22.3613389
"S19","On Ho","S1901","Delia (Man Kiu) English Primary School","Phase 2, Cheung On Estate, Tsing Yi, New Territories",114.1106972,22.3476872
"S19","On Ho","S1902","CCC Yenching College","12 Nga Ying Chau Street, Tsing Yi, New Territories",114.1053389,22.3624056
"S21","Tsing Yi Estate","S2101","Tsuen Wan Trade Association Primary School","Phase 1, Area 1, Tsing Yi Estate, Tsing Yi, New Territories",114.1106972,22.3476872
"S22","Greenfield","S2201","TWGHs S. C. Gaw Memorial College","7 Tsing Sum Street, Town Centre, Tsing Yi, New Territories",114.1106972,22.3476872
"S22","Greenfield","S2202","PLK Castar Primary School","23 Tsing Luk Street, Tsing Yi, New Territories",114.1065458,22.3547264
"S23","Cheung Ching","S2301","Cheung Ching Estate Community Centre","6 Ching Hong Road, Tsing Yi, New Territories",114.1069051,22.3488235
"S23","Cheung Ching","S2302","Study Room, Mayfair Gardens","Study Room, L3, Block 11, Mayfair Gardens, 2-16 Sai Shan Road, Tsing Yi, New Territories",114.107532,22.3445004
"S25","Shing Hong","S2501","Lok Sin Tong Leung Chik Wai Memorial School","Phase 5, Cheung Hong Estate, Tsing Yi, New Territories",114.1106972,22.3476872
"S26","Tsing Yi South","S2601","Rambler Crest Club House","Tower 1, 1 Tsing Yi Road, Tsing Yi, New Territories",114.1102374,22.3434869
"S26","Tsing Yi South","S2602","SKH Tsing Yi Chu Yan Primary School","Cheung Wang Estate, Tsing Yi, New Territories",114.0968815,22.3565856
"S27","Cheung Hang","S2701","Cheung Hang Community Hall","Cheung Hang Estate, Phase II, Tsing Yi, New Territories",114.1106972,22.3476872
"S28","Ching Fat","S2801","Cheung Fat Estate Community Centre","6 Tam Kon Shan Road, Tsing Yi, New Territories",114.1032454,22.3625189
"S29","Cheung On","S2901","CNEC Lui Ming Choi Primary School","Cheung Fat Estate, Tsing Yi, New Territories",114.1037506,22.3631331
"T01","Lantau","T0101","CCC Tai O Primary School","24-26 Market Street, Tai O, Lantau Island, New Territories",113.8617886,22.2543786
"T01","Lantau","T0102*","Sha Lo Wan Village Office","17 Chung Hou, Sha Lo Wan, Lantau Island, New Territories",113.9179589,22.2478472
"T01","Lantau","T0103*","Tai O San Tau Village Village Office","Flat 2D, San Tau Village, Tai O, Lantau Island, New Territories",113.9179589,22.2478472
"T01","Lantau","T0104","Auxiliary Medical Service Tung Chung Training Centre","1 Ha Ling Pei, Tung Chung, Lantau Island, New Territories",113.9401086,22.2576167
"T01","Lantau","T0105*","Ngau Kwu Long Sam Heung Co-operative Society","25 Tai Ho San Tsuen, Lantau Island, New Territories",113.9503349,22.2360438
"T01","Lantau","T0106*","Tai O Room, Po Lin Monastery","Po Lin Monastery, Ngong Ping Road, Ngong Ping, Lantau Island, New Territories",113.9034617,22.2554274
"T01","Lantau","T0107","Mui Wo Sports Centre","1/F, Mui Wo Municipal Services Building, 9 Ngan Shek Street, Lantau Island, New Territories",113.9965449,22.2670149
"T01","Lantau","T0108","Tong Fuk Village Office","G/F, 33 Tong Fuk, South Lantau Road, Lantau Island, New Territories",113.9597319,22.2336696
"T01","Lantau","T0109","Bui O Public School","2 Lo Uk Village, Pui O, Lantau Island, New Territories",113.9179589,22.2478472
"T02","Yat Tung Estate North","T0201","Tung Chung Catholic School","Yat Tung (2) Estate, 8 Yat Tung Street, Tung Chung, Lantau Island, New Territories",113.937757,22.2818655
"T03","Yat Tung Estate South","T0301","HKFEW Wong Cho Bau School","Yat Tung (1) Estate, Tung Chung, Lantau Island, New Territories",113.9345727,22.2810326
"T04","Tung Chung North","T0401","Tung Chung Community Hall","G/F, Tung Chung Municipal Services Building, 39 Man Tung Road, Tung Chung, Lantau Island, New Territories",113.943785,22.2905445
"T05","Tung Chung South","T0501","HKFEW Wong Cho Bau Secondary School","Area 10, Phase 3, Fu Tung Estate, Tung Chung, Lantau Island, New Territories",113.9425086,22.2873743
"T06","Discovery Bay","T0601","SKH Wei Lun Primary School","Area 13, Discovery Bay, Lantau Island, New Territories",114.0101467,22.2921406
"T09","Cheung Chau South","T0901","Buddhist Wai Yan Memorial College","25 Tai Hing Tai Road, Cheung Chau, New Territories",114.0261166,22.2050958
"T09","Cheung Chau South","T0902","Caritas Chan Chun Ha Field Studies Centre (St. Paul Campus)","C.C. Lot No.1139, Lung Tsai Tsuen, Cheung Chau, New Territories",114.030273,22.2040455
"T10","Cheung Chau North","T1001","Cheung Chau Sports Centre","3 Cheung Chau Hospital Road, Cheung Chau, New Territories",114.0311221,22.2075465
"T10","Cheung Chau North","T1002","Kwok Man School","30 Kwok Man Road, Cheung Chau, New Territories",114.0294314,22.2108114
